GEO_NAME,Arab,Black,Chinese,Filipino,Japanese,Korean,Latin American,Multiple Indigenous ancestries (only),Multiple Indigenous and non-Indigenous ancestries,Multiple visible minorities,Single Indigenous ancestry (only),Single Indigenous and non-Indigenous ancestries,South Asian,Southeast Asian,"Visible minority, n.i.e.",West Asian
"Coaldale, Town (T)",0.0,80.0,30.0,15.0,160.0,0.0,45.0,0.0,0.0,20.0,31.25,173.75,20.0,35.0,20.0,0.0
"Coalhurst, Town (T)",0.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,76.25,55.0,0.0,0.0,0.0,0.0
Cobourg,55.0,225.0,75.0,130.0,40.0,50.0,70.0,0.0,0.0,40.0,81.25,296.25,160.0,65.0,55.0,30.0
"Cobourg, Town (T)",55.0,225.0,75.0,130.0,40.0,50.0,70.0,0.0,0.0,40.0,81.25,296.25,160.0,65.0,55.0,30.0
"Cochrane, Town (T)",70.0,350.0,160.0,895.0,115.0,75.0,280.0,0.0,14.0,70.0,217.5,656.25,510.0,85.0,45.0,30.0
"Colchester, Subd. B, Subdivision of county municipality (SC)",75.0,245.0,40.0,60.0,10.0,0.0,10.0,0.0,0.0,15.0,113.75,348.75,225.0,0.0,0.0,10.0
"Colchester, Subd. C, Subdivision of county municipality (SC)",10.0,80.0,15.0,20.0,0.0,0.0,20.0,0.0,0.0,10.0,111.25,287.5,30.0,10.0,0.0,0.0
"Coldstream, District municipality (DM)",0.0,40.0,110.0,45.0,150.0,10.0,25.0,0.0,4.0,10.0,43.75,292.5,125.0,25.0,0.0,0.0
"Cole Bay 3, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,12.5,0.0,0.0,0.0,0.0
"Cole Harbour 30, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,5.0,0.0,0.0,0.0,0.0
Collingwood,35.0,210.0,215.0,210.0,45.0,40.0,90.0,0.0,10.0,90.0,77.5,342.5,470.0,75.0,55.0,125.0
"Collingwood, Town (T)",35.0,210.0,215.0,210.0,45.0,40.0,90.0,0.0,10.0,90.0,77.5,342.5,470.0,75.0,55.0,125.0
"Colonsay No. 342, Rural municipality (RM)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Colonsay, Town (T)",0.0,10.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,0.0,0.0,0.0,0.0
"Colwood, City (CY)",60.0,230.0,410.0,265.0,80.0,130.0,185.0,0.0,6.0,60.0,115.0,418.75,280.0,180.0,40.0,55.0
"Comox 1, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,40.0,0.0,0.0,0.0,0.0
"Comox Valley A, Regional district electoral area (RDA)",0.0,25.0,45.0,25.0,65.0,30.0,25.0,0.0,0.0,10.0,48.75,237.5,45.0,25.0,20.0,15.0
"Comox Valley B (Lazo North), Regional district electoral area (RDA)",0.0,0.0,60.0,55.0,45.0,0.0,35.0,0.0,0.0,0.0,97.5,167.5,15.0,10.0,15.0,0.0
"Comox, Town (T)",0.0,100.0,85.0,100.0,95.0,30.0,30.0,0.0,10.0,80.0,88.75,431.25,100.0,60.0,25.0,0.0
"Compton, Municipalité (MÉ)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.75,78.75,0.0,0.0,0.0,0.0
"Conception Bay South, Town (T)",0.0,85.0,45.0,35.0,0.0,0.0,30.0,0.0,7.0,10.0,228.75,492.5,50.0,0.0,0.0,0.0
"Conmee, Township (TP)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,21.25,0.0,0.0,0.0,0.0
"Coquitlam 1, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.5,0.0,0.0,0.0,0.0
"Coquitlam, City (CY)",1455.0,2135.0,32770.0,5330.0,1705.0,11900.0,3345.0,0.0,44.0,3440.0,326.25,1271.25,7405.0,2345.0,860.0,10625.0
"Corman Park No. 344, Rural municipality (RM)",0.0,10.0,165.0,20.0,10.0,0.0,25.0,0.0,8.0,0.0,61.25,201.25,75.0,0.0,0.0,0.0
Corner Brook,70.0,130.0,45.0,110.0,0.0,0.0,35.0,17.0,44.0,0.0,2453.75,2010.0,175.0,50.0,0.0,0.0
"Corner Brook, City (CY)",45.0,100.0,25.0,95.0,0.0,0.0,30.0,10.0,26.0,0.0,1400.0,1256.25,165.0,50.0,0.0,0.0
Cornwall,240.0,850.0,205.0,305.0,40.0,70.0,270.0,6.0,19.0,105.0,751.25,1642.5,2440.0,210.0,55.0,160.0
"Cornwall, City (CY)",240.0,775.0,165.0,300.0,30.0,50.0,240.0,2.0,19.0,85.0,666.25,1335.0,2360.0,165.0,35.0,160.0
"Cornwall, Town (T)",45.0,160.0,165.0,35.0,0.0,0.0,80.0,0.0,0.0,0.0,8.75,52.5,225.0,80.0,0.0,0.0
"Coteau-du-Lac, Ville (V)",45.0,90.0,10.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,32.5,132.5,65.0,80.0,0.0,0.0
Courtenay,65.0,370.0,625.0,625.0,305.0,225.0,245.0,7.0,40.0,160.0,623.75,1830.0,630.0,365.0,115.0,55.0
"Courtenay, City (CY)",60.0,230.0,400.0,420.0,85.0,150.0,115.0,4.0,16.0,65.0,290.0,817.5,445.0,265.0,50.0,35.0
"Coverdale, Parish (P)",0.0,0.0,40.0,0.0,0.0,0.0,25.0,0.0,0.0,10.0,11.25,77.5,0.0,0.0,0.0,0.0
Cowansville,10.0,120.0,35.0,20.0,0.0,0.0,65.0,0.0,0.0,0.0,185.0,296.25,25.0,0.0,0.0,0.0
"Cowansville, Ville (V)",10.0,120.0,35.0,20.0,0.0,0.0,65.0,0.0,0.0,0.0,185.0,296.25,25.0,0.0,0.0,0.0
"Cowichan Valley D, Regional district electoral area (RDA)",0.0,15.0,65.0,30.0,0.0,0.0,15.0,0.0,16.0,0.0,27.5,70.0,45.0,0.0,0.0,0.0
"Cowichan Valley E, Regional district electoral area (RDA)",0.0,40.0,20.0,20.0,0.0,0.0,0.0,0.0,4.0,0.0,45.0,121.25,20.0,0.0,20.0,0.0
"Cowichan Valley G, Regional district electoral area (RDA)",0.0,0.0,35.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,12.5,35.0,15.0,0.0,0.0,0.0
"Cowichan Valley H, Regional district electoral area (RDA)",0.0,10.0,10.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,12.5,82.5,0.0,0.0,0.0,0.0
"Cowichan, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,982.5,93.75,0.0,0.0,0.0,0.0
Cranbrook,15.0,225.0,275.0,270.0,60.0,30.0,70.0,6.0,22.0,25.0,355.0,953.75,365.0,115.0,0.0,0.0
"Cranbrook, City (CY)",15.0,190.0,240.0,270.0,55.0,30.0,70.0,6.0,20.0,25.0,280.0,741.25,365.0,115.0,0.0,0.0
"Craven, Village (VL)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,0.0,0.0,0.0,0.0
"Crossfield, Town (T)",0.0,40.0,0.0,80.0,90.0,0.0,20.0,0.0,0.0,0.0,27.5,92.5,0.0,0.0,0.0,0.0
"Crossroads, Fire district (FD)",0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.75,0.0,0.0,0.0,0.0
"Cumberland, Village (VL)",0.0,15.0,35.0,30.0,20.0,15.0,50.0,0.0,8.0,0.0,56.25,135.0,20.0,10.0,0.0,0.0
"Curve Lake First Nation 35, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,263.75,130.0,0.0,0.0,0.0,0.0
"Cypress County, Municipal district (MD)",0.0,35.0,0.0,20.0,0.0,0.0,15.0,0.0,0.0,0.0,51.25,157.5,75.0,20.0,0.0,0.0
"Côte-Saint-Luc, Ville (V)",835.0,2020.0,705.0,1685.0,0.0,290.0,495.0,0.0,0.0,240.0,15.0,33.75,750.0,205.0,200.0,1720.0
"Dalmeny, Town (T)",0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.25,61.25,0.0,0.0,0.0,0.0
Dawson Creek,0.0,150.0,80.0,685.0,0.0,60.0,40.0,18.0,18.0,50.0,411.25,751.25,450.0,175.0,0.0,25.0
"Dawson Creek, City (CY)",0.0,125.0,75.0,665.0,0.0,50.0,40.0,18.0,14.0,35.0,330.0,517.5,450.0,175.0,0.0,25.0
"Deep Creek 2, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,0.0,0.0,0.0,0.0
"Delisle, Town (T)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,52.5,0.0,0.0,0.0,0.0
"Delson, Ville (V)",105.0,275.0,95.0,25.0,0.0,10.0,230.0,0.0,0.0,20.0,42.5,130.0,0.0,35.0,10.0,105.0
"Delta, City (CY)",625.0,1095.0,9660.0,3700.0,970.0,410.0,1035.0,8.0,30.0,1565.0,338.75,1366.25,27990.0,720.0,575.0,265.0
"Denholm, Municipalité (MÉ)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
"Derby, Parish (P)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,8.75,0.0,0.0,0.0,0.0
"Deux-Montagnes, Ville (V)",495.0,620.0,45.0,50.0,0.0,0.0,420.0,0.0,0.0,40.0,108.75,328.75,90.0,120.0,25.0,25.0
"Devon 30, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,75.0,0.0,0.0,0.0,0.0
"Devon, Town (T)",40.0,50.0,25.0,105.0,25.0,0.0,0.0,6.0,6.0,45.0,61.25,186.25,35.0,0.0,0.0,0.0
"Dieppe, City (C)",570.0,755.0,135.0,385.0,30.0,145.0,175.0,0.0,0.0,125.0,202.5,392.5,405.0,150.0,50.0,15.0
"Disley, Village (VL)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Division No.  5, Subd. F, Subdivision of unorganized (SNO)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.75,41.25,0.0,0.0,0.0,0.0
"Division No.  6, Subd. E, Subdivision of unorganized (SNO)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
"Dog Creek 1, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5,0.0,0.0,0.0,0.0,0.0
"Dog Head 218, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0
Dolbeau-Mistassini,25.0,100.0,20.0,0.0,0.0,0.0,30.0,7.0,10.0,0.0,462.5,337.5,0.0,10.0,0.0,0.0
"Dolbeau-Mistassini, Ville (V)",25.0,100.0,20.0,0.0,0.0,0.0,30.0,7.0,10.0,0.0,406.25,301.25,0.0,10.0,0.0,0.0
"Dollard-Des Ormeaux, Ville (V)",3775.0,3385.0,1880.0,2310.0,35.0,165.0,805.0,0.0,4.0,735.0,27.5,150.0,5825.0,530.0,370.0,980.0
"Dorchester, Parish (P)",0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dorchester, Village (VL)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
"Dorval, Ville (V)",625.0,880.0,885.0,565.0,60.0,120.0,680.0,0.0,0.0,245.0,40.0,155.0,820.0,220.0,50.0,170.0
"Douglas, Parish (P)",0.0,60.0,15.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,23.75,107.5,15.0,0.0,0.0,0.0
"Douro-Dummer, Township (TP)",0.0,80.0,35.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,56.25,98.75,50.0,0.0,0.0,0.0
Drummondville,1010.0,1640.0,185.0,75.0,10.0,20.0,1205.0,0.0,4.0,35.0,911.25,1075.0,65.0,195.0,30.0,10.0
"Drummondville, Ville (V)",995.0,1585.0,140.0,75.0,10.0,20.0,1145.0,0.0,4.0,35.0,752.5,833.75,60.0,160.0,20.0,10.0
"Duck Lake 7, Indian reserve (IRI)",0.0,0.0,15.0,30.0,0.0,0.0,0.0,0.0,12.0,0.0,27.5,33.75,15.0,0.0,0.0,0.0
Duncan,70.0,400.0,495.0,535.0,170.0,110.0,135.0,8.0,40.0,140.0,1975.0,1410.0,1005.0,140.0,55.0,35.0
"Duncan, City (CY)",0.0,55.0,20.0,50.0,10.0,0.0,20.0,0.0,4.0,25.0,203.75,153.75,40.0,10.0,0.0,10.0
"Dundurn No. 314, Rural municipality (RM)",0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,32.5,47.5,65.0,40.0,0.0,0.0
"Dundurn, Town (T)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,28.75,0.0,0.0,0.0,0.0
"East Ferris, Municipality (MU)",0.0,15.0,0.0,0.0,0.0,0.0,15.0,6.0,17.0,0.0,68.75,250.0,10.0,0.0,0.0,0.0
"East Gwillimbury, Town (T)",320.0,950.0,3800.0,395.0,75.0,220.0,520.0,0.0,0.0,380.0,31.25,290.0,1620.0,300.0,260.0,1395.0
"East Hants, Municipal district (MD)",45.0,200.0,10.0,110.0,0.0,0.0,35.0,0.0,14.0,60.0,228.75,452.5,90.0,25.0,0.0,0.0
"East Kootenay C, Regional district electoral area (RDA)",0.0,45.0,35.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,71.25,210.0,0.0,0.0,0.0,0.0
"East River, Part 1, Fire district (FD)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,28.75,35.0,0.0,0.0,0.0
"East River, Part 2, Fire district (FD)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,21.25,0.0,0.0,0.0,0.0
"East Saanich 2, Indian reserve (IRI)",0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,205.0,86.25,10.0,0.0,0.0,0.0
"East St. Paul, Rural municipality (RM)",0.0,40.0,65.0,145.0,25.0,0.0,45.0,0.0,4.0,75.0,77.5,278.75,190.0,55.0,10.0,0.0
"Ebenezer, Village (VL)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.25,0.0,0.0,0.0,0.0
"Edenwold No. 158, Rural municipality (RM)",0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,28.75,82.5,35.0,0.0,0.0,0.0
"Edenwold, Village (VL)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edmonton,31965.0,80570.0,62680.0,80760.0,2880.0,8585.0,21960.0,571.0,1043.0,15305.0,16696.25,31463.75,123335.0,20650.0,4900.0,7995.0
"Edmonton, City (CY)",30485.0,75525.0,59740.0,70550.0,2180.0,8045.0,19455.0,397.0,652.0,14090.0,11580.0,19953.75,114985.0,19205.0,4240.0,7690.0
Edmundston,135.0,350.0,15.0,35.0,0.0,0.0,20.0,0.0,0.0,0.0,298.75,301.25,35.0,20.0,0.0,0.0
"Edmundston, City (C)",135.0,320.0,15.0,35.0,0.0,0.0,20.0,0.0,0.0,0.0,157.5,202.5,35.0,15.0,0.0,0.0
"Eel Ground 2, Indian reserve (IRI)",0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,53.75,0.0,0.0,0.0,0.0
"Elgin, Parish (P)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,10.0,0.0,0.0,0.0
"Elizabethtown-Kitley, Township (TP)",0.0,30.0,25.0,20.0,0.0,0.0,10.0,0.0,4.0,0.0,52.5,212.5,60.0,0.0,20.0,0.0
Elliot Lake,0.0,90.0,50.0,40.0,0.0,0.0,0.0,7.0,16.0,25.0,173.75,431.25,45.0,0.0,15.0,10.0
"Elliot Lake, City (CY)",0.0,90.0,50.0,40.0,0.0,0.0,0.0,7.0,16.0,25.0,173.75,431.25,45.0,0.0,15.0,10.0
"Elton, Rural municipality (RM)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
"Enoch Cree Nation, Indian reserve (IRI)",0.0,15.0,0.0,10.0,0.0,0.0,10.0,6.0,4.0,0.0,722.5,55.0,0.0,0.0,0.0,0.0
"Eskasoni 3, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1557.5,147.5,0.0,0.0,0.0,0.0
"Esquimalt, District municipality (DM)",95.0,405.0,300.0,390.0,155.0,50.0,215.0,0.0,16.0,110.0,166.25,372.5,305.0,245.0,80.0,10.0
"Esquimalt, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.5,0.0,0.0,0.0,0.0,0.0
Essa,50.0,700.0,105.0,165.0,25.0,70.0,345.0,0.0,0.0,90.0,125.0,461.25,420.0,120.0,100.0,55.0
"Essa, Township (TP)",50.0,700.0,105.0,165.0,25.0,70.0,345.0,0.0,0.0,90.0,125.0,461.25,420.0,120.0,100.0,55.0
"Essex, Town (T)",95.0,295.0,125.0,45.0,10.0,0.0,85.0,0.0,10.0,35.0,100.0,485.0,105.0,55.0,35.0,65.0
Estevan,30.0,140.0,80.0,1015.0,15.0,75.0,10.0,0.0,8.0,45.0,110.0,238.75,180.0,0.0,0.0,0.0
"Estevan No. 5, Rural municipality (RM)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.5,0.0,0.0,0.0,0.0
"Estevan, City (CY)",30.0,140.0,80.0,1015.0,15.0,75.0,10.0,0.0,8.0,45.0,73.75,195.0,170.0,0.0,0.0,0.0
"Ferland-et-Boilleau, Municipalité (MÉ)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
"Fisher's Grant 24, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,176.25,22.5,0.0,0.0,0.0,0.0
"Flatrock, Town (T)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,36.25,0.0,0.0,0.0,0.0
"Fort Erie, Town (T)",65.0,655.0,430.0,205.0,0.0,90.0,525.0,18.0,14.0,105.0,295.0,648.75,305.0,90.0,20.0,50.0
"Fort George 2, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,5.0,0.0,0.0,0.0,0.0
"Fort Mckay 174, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,280.0,16.25,0.0,0.0,0.0,0.0
"Fort Saskatchewan, City (CY)",50.0,410.0,75.0,950.0,30.0,50.0,175.0,8.0,41.0,125.0,287.5,822.5,505.0,40.0,35.0,20.0
Fort St. John,40.0,435.0,175.0,1190.0,60.0,125.0,120.0,30.0,44.0,120.0,727.5,1190.0,1120.0,110.0,70.0,15.0
"Fort St. John, City (CY)",40.0,435.0,160.0,1120.0,40.0,125.0,85.0,22.0,22.0,120.0,566.25,858.75,1120.0,105.0,70.0,10.0
"Fort William 52, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.75,61.25,0.0,0.0,0.0,0.0
"Fossambault-sur-le-Lac, Ville (V)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,52.5,0.0,0.0,0.0,0.0
"Fraser Valley D, Regional district electoral area (RDA)",0.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,21.25,45.0,0.0,0.0,0.0
"Fraser Valley E, Regional district electoral area (RDA)",0.0,0.0,40.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,65.0,0.0,0.0,0.0,0.0
"Fraser Valley H, Regional district electoral area (RDA)",0.0,15.0,10.0,45.0,0.0,0.0,10.0,0.0,0.0,0.0,15.0,37.5,10.0,0.0,0.0,0.0
"Fraser-Fort George A, Regional district electoral area (RDA)",0.0,10.0,35.0,20.0,10.0,0.0,0.0,0.0,16.0,0.0,46.25,152.5,10.0,0.0,0.0,0.0
"Fraser-Fort George C, Regional district electoral area (RDA)",0.0,0.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,51.25,173.75,35.0,0.0,0.0,0.0
"Fraser-Fort George D, Regional district electoral area (RDA)",0.0,30.0,30.0,15.0,30.0,0.0,0.0,6.0,8.0,0.0,83.75,208.75,30.0,0.0,0.0,0.0
"Fraser-Fort George F, Regional district electoral area (RDA)",0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0,0.0,60.0,48.75,0.0,0.0,0.0,0.0
Fredericton,1605.0,2095.0,1275.0,705.0,75.0,240.0,580.0,0.0,42.0,180.0,1342.5,2031.25,1955.0,380.0,125.0,440.0
"Fredericton, City (C)",1555.0,1780.0,1135.0,600.0,50.0,225.0,520.0,0.0,29.0,175.0,476.25,1101.25,1775.0,315.0,95.0,440.0
"Frontenac Islands, Township (TP)",0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.25,0.0,0.0,0.0,0.0
"Fruitvale, Village (VL)",0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,45.0,0.0,0.0,0.0,0.0
Gander,35.0,70.0,15.0,50.0,0.0,15.0,0.0,0.0,5.0,0.0,360.0,353.75,85.0,15.0,30.0,0.0
"Gander, Town (T)",35.0,70.0,15.0,40.0,0.0,15.0,0.0,0.0,5.0,0.0,252.5,302.5,85.0,15.0,30.0,0.0
"Garden River 14, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.25,92.5,0.0,0.0,0.0,0.0
"Garden River No. 490, Rural municipality (RM)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.5,0.0,0.0,0.0,0.0
"Gatineau, Ville (V)",10240.0,27145.0,3230.0,1375.0,250.0,385.0,5595.0,36.0,84.0,1400.0,4412.5,7310.0,1840.0,1590.0,485.0,1130.0
"Georgian Bluffs, Township (TP)",60.0,45.0,50.0,35.0,10.0,0.0,15.0,0.0,0.0,15.0,37.5,136.25,45.0,0.0,0.0,0.0
"Georgina, Town (T)",105.0,805.0,1390.0,535.0,115.0,165.0,365.0,10.0,8.0,315.0,201.25,675.0,965.0,345.0,95.0,755.0
"Gibbons, Town (T)",0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,35.0,131.25,0.0,15.0,0.0,0.0
"Gillies, Township (TP)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0
"Gladstone, Parish (P)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0
"Glenelg, Parish (P)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,26.25,0.0,0.0,0.0,0.0
"Glenwood, Town (T)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,33.75,0.0,0.0,0.0,0.0
"Golden Days, Summer village (SV)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
"Gore, Canton (municipalité de) (CT)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,53.75,0.0,0.0,0.0,0.0
Granby,565.0,1285.0,190.0,75.0,20.0,15.0,1225.0,4.0,0.0,90.0,816.25,957.5,90.0,180.0,35.0,320.0
"Granby, Ville (V)",530.0,1200.0,110.0,50.0,0.0,15.0,1080.0,4.0,0.0,75.0,651.25,690.0,70.0,160.0,35.0,305.0
"Grand Bay-Westfield, Town (TV)",0.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.75,85.0,0.0,0.0,0.0,0.0
"Grand Coulee, Town (T)",0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,43.75,40.0,0.0,0.0,0.0
Grand Falls-Windsor,0.0,65.0,50.0,55.0,0.0,0.0,0.0,0.0,4.0,25.0,257.5,300.0,155.0,20.0,0.0,0.0
"Grand Falls-Windsor, Town (T)",0.0,65.0,50.0,55.0,0.0,0.0,0.0,0.0,4.0,25.0,257.5,300.0,155.0,20.0,0.0,0.0
Grande Prairie,400.0,1415.0,495.0,4370.0,125.0,170.0,530.0,54.0,82.0,325.0,1387.5,2627.5,1820.0,250.0,35.0,90.0
"Grande Prairie, City (CY)",400.0,1415.0,495.0,4370.0,125.0,170.0,530.0,54.0,82.0,325.0,1387.5,2627.5,1820.0,250.0,35.0,90.0
Greater Sudbury / Grand Sudbury,340.0,4040.0,985.0,445.0,85.0,160.0,705.0,78.0,156.0,275.0,3781.25,7406.25,3110.0,410.0,175.0,140.0
"Greater Sudbury / Grand Sudbury, City (CV)",340.0,4030.0,985.0,440.0,85.0,160.0,705.0,76.0,147.0,265.0,3455.0,7125.0,3105.0,400.0,170.0,145.0
"Greenwich, Parish (P)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
"Gregoire Lake 176, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.5,22.5,0.0,0.0,0.0,0.0
"Gregoire Lake 176A, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.5,5.0,0.0,0.0,0.0,0.0
"Grenville, Village (VL)",0.0,0.0,30.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,13.75,30.0,0.0,0.0,0.0,0.0
"Grimsby, Town (T)",125.0,430.0,230.0,220.0,20.0,45.0,260.0,0.0,4.0,120.0,71.25,298.75,890.0,155.0,150.0,130.0
Guelph,1725.0,6240.0,4445.0,3980.0,270.0,415.0,2150.0,0.0,21.0,1475.0,341.25,1561.25,11415.0,3230.0,780.0,2095.0
"Guelph, City (CY)",1645.0,5940.0,4270.0,3810.0,210.0,380.0,2015.0,0.0,19.0,1365.0,271.25,1346.25,10480.0,3185.0,680.0,1975.0
"Guelph/Eramosa, Township (TP)",60.0,240.0,65.0,150.0,20.0,40.0,105.0,0.0,0.0,65.0,60.0,162.5,365.0,0.0,85.0,35.0
"Halalt 2, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,7.5,0.0,0.0,0.0,0.0
Halifax,9500.0,20795.0,9770.0,4590.0,760.0,2385.0,2290.0,61.0,168.0,2255.0,3107.5,9828.75,16850.0,1890.0,780.0,1710.0
