GEO_NAME,Immigrants,Non-immigrants,Non-permanent residents
"Cariboo I, Regional district electoral area (RDA)",24.0,1380.0,0.0
"Carignan, Ville (V)",347.0,10475.0,75.0
"Carleton Place, Town (T)",268.0,11280.0,25.0
"Cavan Monaghan, Township (TP)",198.0,9000.0,15.0
"Central Elgin, Municipality (MU)",353.0,12255.0,25.0
"Central Kootenay E, Regional district electoral area (RDA)",118.0,3430.0,15.0
"Central Kootenay F, Regional district electoral area (RDA)",144.0,3585.0,0.0
"Central Okanagan West, Regional district electoral area (RDA)",102.0,2500.0,0.0
"Central Okanagan, Regional district electoral area (RDA)",130.0,3730.0,10.0
"Central Saanich, District municipality (DM)",739.0,14255.0,135.0
Centre Wellington,912.0,27085.0,110.0
"Centre Wellington, Township (TP)",912.0,27085.0,110.0
"Chambly, Ville (V)",855.0,27940.0,85.0
"Champlain, Municipalité (MÉ)",2.0,1780.0,0.0
"Charlemagne, Ville (V)",101.0,5915.0,25.0
Charlottetown,2741.0,64980.0,4020.0
"Charlottetown, City (CY)",1755.0,29090.0,3260.0
"Chase, Village (VL)",66.0,2120.0,0.0
"Chatham, Parish (P)",0.0,500.0,0.0
Chatham-Kent,2489.0,92315.0,530.0
"Chatham-Kent, Municipality (MU)",2488.0,91995.0,530.0
"Chelsea, Municipalité (MÉ)",205.0,7250.0,0.0
"Chestermere, City (CY)",1716.0,15865.0,120.0
"Chesterville, Municipalité (MÉ)",2.0,870.0,0.0
Chilliwack,4476.0,94570.0,795.0
"Chilliwack, City (CY)",3795.0,77655.0,725.0
"Chisholm, Township (TP)",26.0,1200.0,0.0
"Chute-aux-Outardes, Village (VL)",0.0,1325.0,0.0
"Château-Richer, Ville (V)",32.0,4125.0,15.0
"Châteauguay, Ville (V)",2982.0,39190.0,380.0
"Clarence-Rockland, City (C)",452.0,24320.0,45.0
"Clarington, Municipality (MU)",4177.0,85010.0,410.0
"Clavet, Village (VL)",4.0,420.0,0.0
"Clyde River, Rural municipality (RM)",4.0,595.0,0.0
"Coaldale, Town (T)",260.0,7715.0,10.0
"Coalhurst, Town (T)",52.0,2665.0,0.0
Cobourg,675.0,17190.0,40.0
"Cobourg, Town (T)",675.0,17190.0,40.0
"Cochrane, Town (T)",1365.0,26785.0,155.0
"Colchester, Subd. B, Subdivision of county municipality (SC)",248.0,18535.0,200.0
"Colchester, Subd. C, Subdivision of county municipality (SC)",112.0,11970.0,35.0
"Coldstream, District municipality (DM)",336.0,9715.0,25.0
"Cole Harbour 30, Indian reserve (IRI)",0.0,205.0,0.0
Collingwood,856.0,20950.0,115.0
"Collingwood, Town (T)",856.0,20950.0,115.0
"Colonsay No. 342, Rural municipality (RM)",0.0,290.0,0.0
"Colonsay, Town (T)",4.0,400.0,0.0
"Colwood, City (CY)",662.0,16170.0,240.0
"Comox Valley A, Regional district electoral area (RDA)",305.0,6630.0,40.0
"Comox Valley B (Lazo North), Regional district electoral area (RDA)",222.0,6495.0,20.0
"Comox, Town (T)",467.0,12480.0,90.0
"Compton, Municipalité (MÉ)",24.0,3095.0,0.0
"Conception Bay South, Town (T)",113.0,26320.0,35.0
"Conmee, Township (TP)",6.0,765.0,0.0
"Coquitlam, City (CY)",19115.0,73320.0,6605.0
"Corman Park No. 344, Rural municipality (RM)",167.0,7980.0,25.0
Corner Brook,198.0,28160.0,160.0
"Corner Brook, City (CY)",142.0,17975.0,145.0
Cornwall,1274.0,54655.0,570.0
"Cornwall, City (CY)",1103.0,41905.0,550.0
"Cornwall, Town (T)",208.0,5615.0,300.0
"Coteau-du-Lac, Ville (V)",83.0,6895.0,0.0
Courtenay,2160.0,53470.0,550.0
"Courtenay, City (CY)",1046.0,23635.0,390.0
"Coverdale, Parish (P)",36.0,4635.0,0.0
Cowansville,130.0,13755.0,45.0
"Cowansville, Ville (V)",130.0,13755.0,45.0
"Cowichan Valley D, Regional district electoral area (RDA)",130.0,2960.0,10.0
"Cowichan Valley E, Regional district electoral area (RDA)",86.0,3875.0,0.0
"Cowichan Valley G, Regional district electoral area (RDA)",76.0,2105.0,0.0
"Cowichan Valley H, Regional district electoral area (RDA)",71.0,2290.0,20.0
Cranbrook,650.0,23590.0,390.0
"Cranbrook, City (CY)",496.0,17735.0,375.0
"Craven, Village (VL)",0.0,330.0,0.0
"Crossfield, Town (T)",81.0,3335.0,0.0
"Crossroads, Fire district (FD)",17.0,1795.0,0.0
"Cumberland, Village (VL)",116.0,3955.0,0.0
"Cypress County, Municipal district (MD)",173.0,6570.0,60.0
"Côte-Saint-Luc, Ville (V)",4152.0,17510.0,1710.0
"Dalmeny, Town (T)",9.0,1680.0,0.0
Dawson Creek,472.0,15415.0,445.0
"Dawson Creek, City (CY)",390.0,10420.0,445.0
"Delisle, Town (T)",3.0,1015.0,0.0
"Delson, Ville (V)",285.0,7325.0,45.0
"Delta, City (CY)",9885.0,67960.0,3750.0
"Denholm, Municipalité (MÉ)",0.0,535.0,0.0
"Derby, Parish (P)",4.0,870.0,0.0
"Deux-Montagnes, Ville (V)",625.0,15285.0,100.0
"Devon, Town (T)",102.0,6065.0,10.0
"Dieppe, City (C)",908.0,24265.0,715.0
"Disley, Village (VL)",0.0,65.0,0.0
"Division No.  5, Subd. F, Subdivision of unorganized (SNO)",14.0,680.0,0.0
