GEO_NAME,Immigrants,Non-immigrants,Non-permanent residents
Weyburn,410.0,10500.0,90.0
Whitehorse,1399.0,25940.0,855.0
Williams Lake,555.0,21160.0,190.0
Windsor,27614.0,309340.0,9255.0
Winkler,2415.0,23785.0,270.0
Winnipeg,63298.0,581540.0,30220.0
Wood Buffalo,4866.0,57005.0,865.0
Woodstock,1926.0,38855.0,285.0
Yellowknife,976.0,16300.0,345.0
Yorkton,685.0,17105.0,345.0
